gene	essentiality	ncbi_id
DNAAF1	CSEGs	123872
DNAH7	CSEGs	56171
DNAH9	CSEGs	1770
DNAI2	CSEGs	64446
DNAJB13	CSEGs	374407
DNAJB2	CSEGs	3300
DNAJB4	CSEGs	11080
DOCK10	CSEGs	55619
DOCK4	CSEGs	9732
DOK3	CSEGs	79930
DOK5	CSEGs	55816
DOLK	CSEGs	22845
DONSON	CEGs	29980
DPH2	CSEGs	1802
DPH5	CSEGs	51611
DPP8	CSEGs	54878
DPY19L2	CSEGs	283417
DSEL	CSEGs	92126
DTL	CEGs	51514
DTNA	CSEGs	1837
DTX1	CSEGs	1840
DTYMK	CEGs	1841
DUS4L	CSEGs	11062
DUSP1	CSEGs	1843
DUSP18	CSEGs	150290
DUSP28	CSEGs	285193
DUSP9	CSEGs	1852
DUT	CEGs	1854
DYDC1	CSEGs	143241
DYNC1H1	CEGs	1778
DYNC1I2	CEGs	1781
DYNLRB1	CEGs	83658
E2F5	CSEGs	1875
E2F7	CSEGs	144455
EBI3	CSEGs	10148
EBP	CSEGs	10682
EBPL	CSEGs	84650
ECD	CEGs	11319
ECHS1	CSEGs	1892
ECM1	CSEGs	1893
EDA2R	CSEGs	60401
EEF1A1	CEGs	1915
EEF2	CEGs	1938
EFCAB2	CSEGs	84288
EFHD2	CSEGs	79180
EFNA1	CSEGs	1942
EFNA5	CSEGs	1946
EFNB3	CSEGs	1949
EFTUD2	CEGs	9343
EGFR	CEGs	1956
EHBP1	CSEGs	23301
EID2B	CSEGs	126272
EIF1AX	CEGs	1964
EIF2AK3	CSEGs	9451
EIF2B2	CEGs	8892
EIF2B4	CEGs
EIF2B5	CEGs	8893
EIF2S1	CEGs	1965
EIF2S2	CEGs	8894
EIF2S3	CEGs	1968
EIF3A	CEGs	8661
EIF3B	CEGs	8662
EIF3CL	CEGs	728689
EIF3D	CEGs	8664
EIF3F	CEGs	8665
EIF3I	CEGs	8668
EIF3M	CEGs	10480
EIF4A2	CSEGs	1974
EIF4A3	CEGs	9775
EIF5	CEGs	1983
EIF6	CEGs	3692
ELF3	CSEGs	1999
ELF4	CSEGs	2000
ELL	CEGs	8178
ELMOD1	CSEGs	55531
ELMOD3	CSEGs	84173
ELP4	CEGs	26610
EMC10	CSEGs	284361
EML1	CSEGs	2009
EML4	CSEGs	27436
EN1	CSEGs	2019
ENC1	CSEGs	8507
ENDOG	CSEGs	2021
ENTPD1	CSEGs	953
EPB41	CSEGs	2035
EPB41L2	CSEGs	2037
EPHA2	CSEGs	1969
EPHB6	CSEGs	2051
EPRS	CEGs	2058
EPS15L1	CSEGs	58513
ERBB4	CSEGs	2066
ERCC3	CEGs	2071
ERH	CEGs	2079
ERI1	CSEGs	90459
ERI2	CSEGs	112479
ERMARD	CSEGs	55780
ESM1	CSEGs	11082
ESPL1	CEGs	9700
ESPNP	CSEGs	284729
ETF1	CEGs	2107
EXOC3	CEGs	11336
EXOC4	CSEGs	60412
EXOG	CSEGs	9941
EXOSC3	CEGs	51010
EXOSC7	CEGs	23016
EXT1	CSEGs	2131
EXTL2	CSEGs	2135
EXTL3	CSEGs	2137
EYS	CSEGs	346007
F11R	CSEGs	50848
F12	CSEGs	2161
F2R	CSEGs	2149
FAAH2	CSEGs	158584
FABP1	CSEGs	2168
FABP4	CSEGs	2167
FAHD2A	CSEGs	51011
FAM120A	CSEGs	23196
FAM162A	CSEGs	26355
FAM166A	CSEGs	401565
FAM169A	CSEGs	26049
FAM171A2	CSEGs	284069
FAM172A	CSEGs	83989
FAM177A1	CSEGs	283635
FAM200A	CSEGs	221786
FAM216A	CSEGs	29902
FAM220A	CSEGs	84792
FAM32A	CEGs	26017
FAM3D	CSEGs	131177
FAM49B	CSEGs	51571
FAM50B	CSEGs	26240
FAM71B	CSEGs	153745
FAM74A1	CSEGs	401507
FAM76A	CSEGs	199870
FAM83D	CSEGs	81610
FAM86B1	CEGs	85002
FAM89B	CSEGs	23625
FANCA	CSEGs	2175
FANCE	CSEGs	2178
FANCF	CSEGs	2188
FARSA	CEGs	2193
FARSB	CEGs	10056
FAS	CSEGs	355
FAT1	CSEGs	2195
FBLN7	CSEGs	129804
FBRS	CSEGs	64319
FBXL3	CSEGs	26224
FBXO17	CSEGs	115290
FBXO28	CSEGs	23219
FBXO8	CSEGs	26269
FCF1	CEGs	51077
FCRLA	CSEGs	84824
FERMT3	CSEGs	83706
FETUB	CSEGs	26998
FGD2	CSEGs	221472
FGF10	CSEGs	2255
FGF12	CSEGs	2257
FGF21	CSEGs	26291
FGF22	CSEGs	27006
FGFBP3	CSEGs	143282
FGFR4	CSEGs	2264
FGGY	CSEGs	55277
FGL1	CSEGs	2267
FIG4	CSEGs	9896
FIGN	CSEGs	55137
FJX1	CSEGs	24147
FKBP4	CSEGs	2288
FKBPL	CSEGs	63943
FKTN	CSEGs	2218
FLAD1	CSEGs	80308
FLRT1	CSEGs	23769
FLVCR2	CSEGs	55640
FLYWCH1	CSEGs	84256
FMNL1	CSEGs	752
FMNL2	CSEGs	114793
FMO2	CSEGs	2327
FMO9P	CSEGs	116123
FMR1	CSEGs	2332
FNDC3B	CSEGs	64778
FNDC7	CSEGs	163479
FNIP1	CSEGs	96459
FOPNL	CSEGs	123811
FOXA1	CEGs	3169
FOXA2	CSEGs	3170
FOXC2	CSEGs	2303
FOXD4	CSEGs	2298
FOXL2	CSEGs	668
FOXN4	CSEGs	121643
FOXR1	CSEGs	283150
FPR1	CSEGs	2357
FRMD7	CSEGs	90167
FSD1	CSEGs	79187
FSD1L	CSEGs	83856
FSHR	CSEGs	2492
FST	CSEGs	10468
FTH1P3	CSEGs	2498
FTL	CSEGs	2512
FUT6	CSEGs	2528
FXYD5	CSEGs	53827
FZD5	CSEGs	7855
FZD6	CSEGs	8323
FZD7	CSEGs	8324
FZD9	CSEGs	8326
GAB4	CSEGs	128954
GABRA3	CSEGs	2556
GABRA4	CSEGs	2557
GABRA5	CSEGs	2558
GABRB3	CSEGs	2562
GADD45G	CSEGs	10912
GADD45GIP1	CSEGs	90480
GALNT12	CSEGs	79695
GALNT14	CSEGs	79623
GALNT15	CSEGs	117248
GALNT18	CSEGs	374378
GALNTL5	CSEGs	168391
GALR1	CSEGs	2587
GALR3	CSEGs	8484
GAPT	CSEGs	202309
GAPVD1	CSEGs	26130
GBA3	CSEGs	57733
GBE1	CSEGs	2632
GBF1	CEGs	8729
GC	CSEGs	2638
GCA	CSEGs	25801
GCAT	CSEGs	23464
GCGR	CSEGs	2642
GCH1	CSEGs	2643
GCLM	CSEGs	2730
GCM1	CSEGs	8521
GCOM1	CSEGs	145781
GCSAML	CSEGs	148823
GEMIN5	CEGs	25929
GGA3	CSEGs	23163
GGNBP2	CSEGs	79893
GGPS1	CEGs	9453
GHITM	CSEGs	27069
GID8	CSEGs	54994
GIGYF2	CSEGs	26058
GIMAP2	CSEGs	26157
GIN1	CSEGs	54826
GINS1	CEGs	9837
GINS2	CEGs	51659
GINS3	CEGs	64785
GINS4	CEGs	84296
GIPC3	CSEGs	126326
GJA10	CSEGs	84694
GJC3	CSEGs	349149
GJD3	CSEGs	125111
GJD4	CSEGs	219770
GKN2	CSEGs	200504
GLI1	CSEGs	2735
GLI2	CSEGs	2736
GLIPR1L2	CSEGs	144321
GLIPR2	CSEGs	152007
GLIS1	CSEGs	148979
GLOD5	CSEGs	392465
GLS2	CSEGs	27165
GLT8D1	CSEGs	55830
GLTP	CSEGs	51228
GMDS	CSEGs	2762
GNA12	CSEGs	2768
GNAI1	CSEGs	2770
GNAQ	CSEGs	2776
GNE	CSEGs	10020
GNG4	CSEGs	2786
GNL3	CEGs	26354
GNLY	CSEGs	10578
GNMT	CSEGs	27232
GNPNAT1	CSEGs
GNPTG	CSEGs	84572
GNRH1	CSEGs	2796
GOLPH3	CSEGs	64083
GOLT1A	CSEGs	127845
GOT1	CSEGs	2805
GPATCH4	CSEGs	54865
GPC2	CSEGs	221914
GPD1L	CSEGs	23171
GPKOW	CEGs	27238
GPN1	CEGs	11321
GPN2	CEGs	54707
GPR108	CSEGs	56927
GPR132	CSEGs	29933
GPR135	CSEGs	64582
GPR152	CSEGs	390212
GPR161	CSEGs	23432
GPR174	CSEGs	84636
GPR179	CSEGs	440435
GPR180	CSEGs	160897
GPR183	CSEGs	1880
GPR22	CSEGs	2845
GPR25	CSEGs	2848
GPR39	CSEGs	2863
GPR50	CSEGs	9248
GPX2	CSEGs	2877
GRB7	CSEGs	2886
GRIK5	CSEGs	2901
GRK5	CSEGs	2869
GRPEL1	CEGs	80273
GSDMB	CSEGs	55876
GSDMC	CSEGs	56169
GSPT2	CSEGs	23708
GSTA1	CSEGs	2938
GSTA2	CSEGs	2939
GSTCD	CSEGs	79807
